GEOID,crime,rank,NAME,rank_assault,rank_burg,rank_rob,rank_theft,rank_vehicle_theft
6075015400,4411,78,"Census Tract 154, San Francisco County, California",113,53,78,64,80
6075012902,4378,79,"Census Tract 129.02, San Francisco County, California",79,43,84.5,54,113.5
6075013000,4233,80,"Census Tract 130, San Francisco County, California",89,16,91,55,97
6075030800,4208,81,"Census Tract 308, San Francisco County, California",115.5,51,100,74,116
6075022903,4202,82,"Census Tract 229.03, San Francisco County, California",51,156,43,116,61.5
6075016000,4158,83,"Census Tract 160, San Francisco County, California",91,113.5,117,52,144.5
6075016801,4125,84,"Census Tract 168.01, San Francisco County, California",75,60,60,67,57
6075061000,4069,85,"Census Tract 610, San Francisco County, California",55,146,72.5,119,73
6075022803,4066,86,"Census Tract 228.03, San Francisco County, California",67,144,49,120,31.5
6075026301,3987,87.5,"Census Tract 263.01, San Francisco County, California",62,178,41.5,161,63
6075031201,3987,87.5,"Census Tract 312.01, San Francisco County, California",61,115,57.5,113,91.5
6075011000,3836,89,"Census Tract 110, San Francisco County, California",112,39,84.5,76,85
6075026200,3758,90,"Census Tract 262, San Francisco County, California",63,157.5,67.5,145.5,39.5
6075025403,3714,91,"Census Tract 254.03, San Francisco County, California",53,121.5,63.5,150,70
6075025401,3621,92,"Census Tract 254.01, San Francisco County, California",66,140,69.5,134,66
6075010900,3615,93,"Census Tract 109, San Francisco County, California",102.5,61,104.5,68,83.5
6075040200,3586,94,"Census Tract 402, San Francisco County, California",135,95.5,141.5,71,104
6075013500,3545,95,"Census Tract 135, San Francisco County, California",121.5,68,132,63,131
6075030202,3475,96,"Census Tract 302.02, San Francisco County, California",106.5,79.5,109.5,89,167.5
6075022704,3459,97,"Census Tract 227.04, San Francisco County, California",143,56,100,65,39.5
6075025100,3417,98,"Census Tract 251, San Francisco County, California",81.5,87.5,92,111,41
6075010400,3327,99,"Census Tract 104, San Francisco County, California",136,48,97.5,80,116
6075021000,3263,100,"Census Tract 210, San Francisco County, California",117,59,96,91,67.5
6075025701,3224,101,"Census Tract 257.01, San Francisco County, California",84,183,46,152.5,31.5
6075032601,3111,102,"Census Tract 326.01, San Francisco County, California",121.5,109,114,125.5,155.5
6075021700,3088,103,"Census Tract 217, San Francisco County, California",108.5,82,139,84,94
6075031302,3050,104,"Census Tract 313.02, San Francisco County, California",76,133.5,108,147,120
6075010300,3048,105,"Census Tract 103, San Francisco County, California",148,85.5,114,66,106
6075040100,3016,106,"Census Tract 401, San Francisco County, California",110,105.5,167.5,94,128
6075032801,2985,107,"Census Tract 328.01, San Francisco County, California",90,168,178.5,152.5,187.5
6075012700,2972,108,"Census Tract 127, San Francisco County, California",182.5,98,169.5,46,170.5
6075023003,2963,109,"Census Tract 230.03, San Francisco County, California",69,165,119.5,181,54.5
6075017102,2879,110,"Census Tract 171.02, San Francisco County, California",178,92,156,124,144.5
6075031000,2877,111,"Census Tract 310, San Francisco County, California",106.5,111.5,117,82,154
6075047600,2871,112,"Census Tract 476, San Francisco County, California",148,138,124,110,121.5
6075015802,2855,113,"Census Tract 158.02, San Francisco County, California",140,81,106.5,92,100
6075025600,2802,114,"Census Tract 256, San Francisco County, California",97,153.5,76,157,22
